종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'099320,쎄트렉아이,"-1,759","-32,219","183,165","187,800","4,635","+2.53%"
'247540,에코프로비엠,"-1,500","-28,756","191,679","196,700","5,021","+2.61%"
'000250,삼천당제약,"-481","-24,293","504,842","535,000","30,158","+5.97%"
'403870,HPSP,"-4,850","-20,423","42,108","42,600","492","+1.16%"
'145020,휴젤,"-773","-20,000","258,826","253,000","-5,826","-2.25%"
'222800,심텍,"-3,105","-16,086","51,808","50,700","-1,108","-2.13%"
'240810,원익IPS,"-1,813","-15,289","84,320","109,200","24,880","+29.50%"
'033500,동성화인텍,"-5,388","-14,845","27,553","27,950","397","+1.44%"
'389470,인벤티지랩,"-2,001","-14,088","70,418","77,600","7,182","+10.19%"
'095610,테스,"-2,131","-13,712","64,342","66,400","2,058","+3.19%"
'278280,천보,"-2,496","-13,231","53,007","51,600","-1,407","-2.65%"
'178320,서진시스템,"-3,579","-12,584","35,161","36,600","1,439","+4.09%"
'108490,로보티즈,"-467","-12,214","261,594","274,000","12,406","+4.74%"
'348210,넥스틴,"-1,458","-11,296","77,491","76,000","-1,491","-1.92%"
'089030,테크윙,"-2,450","-10,521","42,951","42,100","-851","-1.98%"
'218410,RFHIC,"-2,114","-10,212","48,316","50,600","2,284","+4.72%"
'095340,ISC,"-607","-9,980","164,464","171,200","6,736","+4.09%"
'469610,이노테크,"-3,909","-9,023","23,082","24,200","1,118","+4.84%"
'950160,코오롱티슈진,"-893","-8,140","91,120","89,500","-1,620","-1.77%"
'101490,에스앤에스텍,"-820","-7,244","88,328","89,900","1,572","+1.77%"
'035900,JYP Ent.,"-938","-6,695","71,346","70,700","-646","-0.90%"
'183300,코미코,"-637","-6,632","104,094","107,400","3,306","+3.17%"
'272290,이녹스첨단소재,"-1,679","-6,501","38,724","37,900","-824","-2.12%"
'084370,유진테크,"-721","-6,392","88,639","112,700","24,061","+27.14%"
'166090,하나머티리얼즈,"-1,026","-6,081","59,281","59,400","119","+0.20%"
'263750,펄어비스,"-1,231","-6,008","48,799","49,750","951","+1.94%"
'491000,리브스메드,"-794","-5,930","74,697","76,500","1,803","+2.41%"
