종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'252670,KODEX 200선물인버스2X,"-10,220,178","-340,971","334","320","-14","-4.19%"
'360750,TIGER 미국S&P500,"-75,651","-186,579","24,663","24,435","-228","-0.92%"
'229200,KODEX 코스닥150,"-87,476","-168,286","19,238","18,955","-283","-1.47%"
'012450,한화에어로스페이스,"-1,379","-155,295","1,126,505","1,112,000","-14,505","-1.28%"
'233740,KODEX 코스닥150레버리지,"-73,498","-122,019","16,602","16,660","58","+0.34%"
'035420,NAVER,"-4,194","-106,908","254,936","253,000","-1,936","-0.75%"
'379800,KODEX 미국S&P500,"-46,849","-105,964","22,618","22,325","-293","-1.29%"
'379810,KODEX 미국나스닥100,"-42,600","-102,232","23,998","23,620","-378","-1.57%"
'133690,TIGER 미국나스닥100,"-5,894","-94,416","160,197","157,705","-2,492","-1.55%"
'114800,KODEX 인버스,"-521,069","-94,330","1,810","1,778","-32","-1.76%"
'459580,KODEX CD금리액티브(합성),"-652","-70,029","1,074,554","1,074,950","396","+0.03%"
'007660,이수페타시스,"-5,668","-60,608","106,931","102,900","-4,031","-3.76%"
'161510,PLUS 고배당주,"-19,492","-52,731","27,052","27,790","738","+2.72%"
'488770,KODEX 머니마켓액티브,"-4,726","-48,930","103,525","103,590","65","+0.06%"
'441640,KODEX 미국배당커버드콜액티브,"-36,851","-48,301","13,107","12,840","-267","-2.03%"
'458730,TIGER 미국배당다우존스,"-32,472","-47,268","14,557","14,455","-102","-0.70%"
'102970,KODEX 증권,"-18,461","-45,572","24,685","26,615","1,930","+7.81%"
'466940,TIGER 은행고배당플러스TOP10,"-15,190","-41,943","27,612","28,660","1,048","+3.79%"
'498400,KODEX 200타겟위클리커버드콜,"-24,381","-41,153","16,879","17,380","501","+2.96%"
'0153K0,KODEX 주주환원고배당주,"-33,405","-40,309","12,067","12,400","333","+2.75%"
'010140,삼성중공업,"-14,052","-38,772","27,593","27,850","257","+0.93%"
'102110,TIGER 200,"-4,461","-36,730","82,336","81,835","-501","-0.60%"
'064350,현대로템,"-1,681","-32,895","195,710","202,500","6,790","+3.46%"
'0154F0,WON 초대형IB&금융지주,"-22,973","-32,671","14,221","14,720","499","+3.50%"
'441800,TIME Korea플러스배당액티브,"-11,824","-31,978","27,046","27,785","739","+2.73%"
'489790,한화비전,"-4,985","-30,421","61,023","61,300","277","+0.45%"
'0105E0,SOL 코리아고배당,"-22,160","-30,080","13,574","14,030","456","+3.35%"
'233160,TIGER 코스닥150 레버리지,"-15,705","-29,733","18,933","18,490","-443","-2.33%"
