종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'196170,알테오젠,"+2,813","+108,581","386,013","383,500","-2,513","-0.65%"
'078600,대주전자재료,"+6,452","+59,964","92,939","86,700","-6,239","-6.71%"
'028300,HLB,"+6,404","+33,823","52,815","51,100","-1,715","-3.24%"
'114810,한솔아이원스,"+14,688","+25,145","17,120","18,250","1,130","+6.60%"
'089970,브이엠,"+6,688","+22,040","32,954","33,850","896","+2.71%"
'086520,에코프로,"+981","+18,107","184,630","150,300","-34,330","-18.59%"
'213420,덕산네오룩스,"+3,944","+17,519","44,418","42,050","-2,368","-5.33%"
'189300,인텔리안테크,"+1,129","+15,180","134,470","125,500","-8,970","-6.67%"
'277810,레인보우로보틱스,"+194","+13,889","714,727","674,000","-40,727","-5.69%"
'347850,디앤디파마텍,"+1,384","+12,329","89,084","83,300","-5,784","-6.49%"
'476830,알지노믹스,"+819","+11,668","142,405","138,100","-4,305","-3.02%"
'031980,피에스케이홀딩스,"+1,527","+11,388","74,574","74,000","-574","-0.76%"
'440110,파두,"+2,533","+11,059","43,660","52,200","8,540","+19.56%"
'067310,하나마이크론,"+3,104","+10,965","35,328","33,100","-2,228","-6.30%"
'448900,한국피아이엠,"+1,450","+10,955","75,565","71,400","-4,165","-5.51%"
'126700,하이비젼시스템,"+5,154","+10,477","20,327","18,250","-2,077","-10.21%"
'298380,에이비엘바이오,"+447","+9,915","221,703","183,600","-38,103","-17.18%"
'014620,성광벤드,"+2,685","+9,418","35,077","34,600","-477","-1.35%"
'456160,지투지바이오,"+1,065","+9,342","87,740","90,500","2,760","+3.14%"
'397030,에이프릴바이오,"+1,247","+9,244","74,116","65,400","-8,716","-11.76%"
'122870,와이지엔터테인먼트,"+1,066","+8,544","80,141","73,400","-6,741","-8.41%"
'214450,파마리서치,"+229","+8,251","360,463","345,000","-15,463","-4.28%"
'348340,뉴로메카,"+846","+7,621","90,047","83,000","-7,047","-7.82%"
'257720,실리콘투,"+1,702","+7,463","43,859","43,150","-709","-1.61%"
'137400,피엔티,"+1,342","+7,276","54,217","51,100","-3,117","-5.74%"
'204620,글로벌텍스프리,"+13,380","+7,094","5,301","5,450","149","+2.81%"
'064760,티씨케이,"+302","+6,734","222,730","207,000","-15,730","-7.06%"
'098120,마이크로컨텍솔,"+2,537","+6,593","25,984","25,650","-334","-1.28%"
'376300,디어유,"+1,530","+6,575","42,975","41,750","-1,225","-2.85%"
'043260,성호전자,"+1,748","+5,919","33,854","21,700","-12,154","-35.90%"
'122640,예스티,"+2,534","+5,885","23,219","22,900","-319","-1.37%"
'102710,이엔에프테크놀로지,"+974","+5,783","59,384","58,600","-784","-1.32%"
'475830,오름테라퓨틱,"+485","+5,764","118,903","114,000","-4,903","-4.12%"
'052710,아모텍,"+4,902","+5,310","10,831","10,120","-711","-6.56%"
'058470,리노공업,"+448","+4,935","110,099","97,700","-12,399","-11.26%"
'140410,메지온,"+304","+4,538","149,361","145,500","-3,861","-2.58%"
'328130,루닛,"+1,045","+4,463","42,702","41,000","-1,702","-3.98%"
'376900,로킷헬스케어,"+662","+4,456","67,279","61,400","-5,879","-8.73%"
'441270,파인엠텍,"+3,674","+4,293","11,686","10,750","-936","-8.00%"
'080580,오킨스전자,"+2,624","+4,214","16,056","15,090","-966","-6.01%"
'096530,씨젠,"+1,490","+4,099","27,503","27,400","-103","-0.37%"
'226950,올릭스,"+294","+4,086","139,127","126,900","-12,227","-8.78%"
'253450,스튜디오드래곤,"+807","+3,911","48,466","47,550","-916","-1.89%"
'099190,아이센스,"+1,722","+3,873","22,493","25,600","3,107","+13.81%"
'052400,코나아이,"+624","+3,865","61,960","60,000","-1,960","-3.16%"
'214430,아이쓰리시스템,"+315","+3,756","119,106","115,200","-3,906","-3.27%"
'053610,프로텍,"+621","+3,575","57,530","57,100","-430","-0.74%"
'051500,CJ프레시웨이,"+1,042","+3,564","34,212","33,700","-512","-1.49%"
'419530,SAMG엔터,"+337","+3,466","102,900","37,900","-65,000","-63.17%"
'252990,샘씨엔에스,"+2,993","+3,412","11,399","11,410","11","+0.09%"
'036890,진성티이씨,"+2,038","+3,370","16,537","16,050","-487","-2.94%"
'077360,덕산하이메탈,"+3,202","+3,316","10,354","10,420","66","+0.63%"
'237690,에스티팜,"+154","+3,036","197,279","146,800","-50,479","-25.58%"
'0007C0,아크릴,"+549","+3,003","54,654","47,000","-7,654","-14.00%"
'037460,삼지전자,"+1,358","+2,983","21,965","21,950","-15","-0.06%"
'123330,제닉,"+1,087","+2,946","27,108","21,200","-5,908","-21.79%"
'466100,클로봇,"+426","+2,910","68,272","66,500","-1,772","-2.59%"
'083650,비에이치아이,"+353","+2,910","82,342","76,100","-6,242","-7.58%"
'074600,원익QnC,"+889","+2,738","30,789","29,150","-1,639","-5.32%"
'039030,이오테크닉스,"+28","+2,676","971,973","365,000","-606,973","-62.45%"
