종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'000660,SK하이닉스,"+14,956","+1,330,549","889,630","885,000","-4,630","-0.52%"
'005930,삼성전자,"+78,617","+1,320,676","167,989","182,100","14,111","+8.40%"
'122630,KODEX 레버리지,"+47,248","+374,406","79,242","84,615","5,373","+6.78%"
'005380,현대차,"+6,932","+344,807","497,410","500,000","2,590","+0.52%"
'034020,두산에너빌리티,"+23,671","+228,805","96,662","96,900","238","+0.24%"
'068270,셀트리온,"+7,792","+181,835","233,347","238,500","5,153","+2.20%"
'402340,SK스퀘어,"+3,186","+179,663","563,956","563,000","-956","-0.16%"
'105560,KB금융,"+11,134","+178,246","160,092","168,600","8,508","+5.31%"
'055550,신한지주,"+14,220","+142,997","100,563","103,200","2,637","+2.62%"
'071050,한국금융지주,"+4,943","+119,458","241,671","261,500","19,829","+8.20%"
'000270,기아,"+7,160","+113,762","158,886","164,300","5,414","+3.40%"
'267270,HD건설기계,"+7,488","+104,948","140,151","140,800","649","+0.46%"
'000150,두산,"+1,069","+100,525","940,483","949,000","8,517","+0.90%"
'047810,한국항공우주,"+5,800","+96,761","166,833","176,700","9,867","+5.91%"
'003230,삼양식품,"+793","+93,823","1,183,184","1,196,000","12,816","+1.08%"
'086790,하나금융지주,"+7,251","+91,298","125,910","128,100","2,190","+1.73%"
'316140,우리금융지주,"+23,141","+85,405","36,907","39,450","2,543","+6.89%"
'267260,HD현대일렉트릭,"+815","+77,050","945,184","956,000","10,816","+1.14%"
'017670,SK텔레콤,"+10,201","+74,905","73,427","86,400","12,973","+17.66%"
'128940,한미약품,"+1,235","+74,249","601,023","603,000","1,977","+0.32%"
'494310,KODEX 반도체레버리지,"+12,305","+71,684","58,254","57,730","-524","-0.89%"
'005935,삼성전자우,"+5,524","+69,960","126,654","127,600","946","+0.74%"
'138040,메리츠금융지주,"+4,961","+64,933","130,881","136,400","5,519","+4.21%"
'009830,한화솔루션,"+13,594","+64,108","47,160","45,650","-1,510","-3.20%"
'373220,LG에너지솔루션,"+1,544","+63,425","410,820","397,500","-13,320","-3.24%"
'066570,LG전자,"+5,474","+62,682","114,518","117,900","3,382","+2.95%"
'323410,카카오뱅크,"+22,402","+61,737","27,559","27,450","-109","-0.39%"
'000720,현대건설,"+4,639","+53,790","115,953","114,600","-1,353","-1.16%"
'488080,TIGER 반도체TOP10레버리지,"+15,317","+53,381","34,851","35,440","589","+1.69%"
'005830,DB손해보험,"+2,951","+51,720","175,262","182,400","7,138","+4.07%"
'305540,TIGER 2차전지테마,"+24,727","+51,443","20,804","20,720","-84","-0.40%"
'016360,삼성증권,"+5,191","+50,717","97,699","102,500","4,801","+4.91%"
'039490,키움증권,"+1,112","+50,515","454,197","471,000","16,803","+3.69%"
'047040,대우건설,"+71,453","+49,377","6,910","7,300","390","+5.64%"
'021240,코웨이,"+5,475","+47,421","86,621","89,500","2,879","+3.32%"
'000120,CJ대한통운,"+3,698","+47,188","127,617","139,400","11,783","+9.23%"
'033780,KT&G,"+2,741","+46,868","170,972","173,200","2,228","+1.30%"
'090430,아모레퍼시픽,"+2,883","+46,457","161,147","160,900","-247","-0.15%"
'003490,대한항공,"+18,360","+45,710","24,896","24,900","4","+0.01%"
'030200,KT,"+6,983","+42,629","61,051","64,500","3,449","+5.64%"
'000810,삼성화재,"+727","+39,780","547,084","558,000","10,916","+1.99%"
'012330,현대모비스,"+823","+36,256","440,633","436,500","-4,133","-0.93%"
'028260,삼성물산,"+1,139","+35,897","315,260","320,000","4,740","+1.50%"
'005490,POSCO홀딩스,"+959","+35,539","370,601","378,500","7,899","+2.13%"
'001040,CJ,"+1,406","+31,421","223,511","228,000","4,489","+2.00%"
'006400,삼성SDI,"+783","+30,690","391,790","376,500","-15,290","-3.90%"
'272210,한화시스템,"+2,841","+30,259","106,496","103,500","-2,996","-2.81%"
'032830,삼성생명,"+1,511","+30,001","198,560","207,000","8,440","+4.25%"
'005940,NH투자증권,"+10,125","+29,889","29,520","31,250","1,730","+5.86%"
'487230,KODEX 미국AI전력핵심인프라,"+15,562","+29,489","18,950","18,825","-125","-0.65%"
'024110,기업은행,"+11,577","+29,449","25,437","26,400","963","+3.78%"
'023530,롯데쇼핑,"+2,533","+28,520","112,611","113,100","489","+0.43%"
'003550,LG,"+2,917","+27,966","95,867","95,600","-267","-0.27%"
'022100,포스코DX,"+6,917","+27,850","40,260","38,700","-1,560","-3.87%"
'006360,GS건설,"+12,622","+27,188","21,540","22,250","710","+3.29%"
'010950,S-Oil,"+2,516","+26,741","106,292","106,400","108","+0.10%"
'161390,한국타이어앤테크놀로지,"+3,672","+26,614","72,472","72,200","-272","-0.37%"
'267250,HD현대,"+948","+24,074","253,818","257,000","3,182","+1.25%"
'009150,삼성전기,"+796","+23,792","298,870","312,000","13,130","+4.39%"
'034230,파라다이스,"+10,881","+23,098","21,228","20,500","-728","-3.42%"
'139130,iM금융지주,"+11,404","+22,579","19,800","21,100","1,300","+6.56%"
'004020,현대제철,"+6,577","+22,420","34,086","33,650","-436","-1.27%"
'079550,LIG넥스원,"+482","+22,192","460,008","459,000","-1,008","-0.21%"
'180640,한진칼,"+1,731","+22,111","127,742","135,800","8,058","+6.30%"
'086280,현대글로비스,"+846","+21,937","259,151","255,500","-3,651","-1.40%"
'009420,한올바이오파마,"+4,034","+21,710","53,825","54,300","475","+0.88%"
'096770,SK이노베이션,"+1,921","+21,593","112,411","113,900","1,489","+1.32%"
'443060,HD현대마린솔루션,"+1,221","+21,400","175,255","172,600","-2,655","-1.51%"
'489030,PLUS 고배당주위클리커버드콜,"+21,022","+20,531","9,766","10,075","309","+3.16%"
'138930,BNK금융지주,"+9,954","+20,415","20,510","22,200","1,690","+8.24%"
'004990,롯데지주,"+5,885","+20,408","34,677","36,350","1,673","+4.82%"
'010130,고려아연,"+115","+20,278","1,762,509","1,671,000","-91,509","-5.19%"
'307950,현대오토에버,"+450","+20,207","449,321","436,500","-12,821","-2.85%"
'097950,CJ제일제당,"+859","+19,600","228,161","222,500","-5,661","-2.48%"
'042660,한화오션,"+1,422","+19,405","136,483","130,000","-6,483","-4.75%"
'298040,효성중공업,"+81","+19,292","2,387,355","2,389,000","1,645","+0.06%"
'010060,OCI홀딩스,"+1,230","+19,120","155,498","149,800","-5,698","-3.66%"
'450080,에코프로머티,"+2,618","+18,718","71,506","65,800","-5,706","-7.98%"
'453850,ACE 미국30년국채액티브(H),"+24,142","+18,595","7,702","7,750","48","+0.62%"
'530136,삼성 인버스 2X 천연가스 선물 ETN D,"+14,122","+17,842","12,634","12,730","96","+0.75%"
'001120,LX인터내셔널,"+4,008","+17,685","44,118","45,500","1,382","+3.13%"
'078930,GS,"+2,346","+16,592","70,723","70,800","77","+0.10%"
'090460,비에이치,"+7,869","+16,572","21,059","20,950","-109","-0.51%"
'035250,강원랜드,"+8,558","+15,974","18,665","18,880","215","+1.15%"
'530107,삼성 인버스 2X 코스닥150 선물 ETN,"+77,947","+15,881","2,037","2,075","38","+1.86%"
'001450,현대해상,"+4,699","+15,661","33,328","35,550","2,222","+6.66%"
'052690,한전기술,"+986","+14,980","151,949","148,600","-3,349","-2.20%"
'062040,산일전기,"+872","+14,656","167,976","146,100","-21,876","-13.02%"
'251270,넷마블,"+2,481","+14,214","57,285","57,500","215","+0.37%"
'032640,LG유플러스,"+8,322","+14,068","16,905","17,160","255","+1.50%"
'088350,한화생명,"+34,892","+13,890","3,981","4,830","849","+21.32%"
'111770,영원무역,"+1,450","+13,776","95,031","90,700","-4,331","-4.55%"
'476550,TIGER 미국30년국채커버드콜액티브(H),"+17,798","+13,582","7,631","7,680","49","+0.64%"
'377300,카카오페이,"+2,142","+13,437","62,743","62,700","-43","-0.06%"
'002790,아모레퍼시픽홀딩스,"+3,853","+13,383","34,730","34,500","-230","-0.66%"
'028050,삼성E&A,"+3,900","+13,127","33,662","34,000","338","+1.00%"
'003690,코리안리,"+9,899","+13,043","13,176","13,610","434","+3.29%"
'294870,HDC현대산업개발,"+5,243","+12,299","23,461","23,550","89","+0.37%"
'120110,코오롱인더,"+1,896","+11,890","62,697","63,400","703","+1.12%"
'161890,한국콜마,"+1,628","+11,886","73,014","72,900","-114","-0.15%"
