순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
1,'252670,KODEX 200선물인버스2X,"320", ,"0","320","319","3,254,134,159","-84,246,935","3,963,910,298"
2,'088350,한화생명,"4,830",▲,"335","4,835","4,830","40,775,473","-4,733,421","803,193,725"
3,'018880,한온시스템,"4,460",▲,"70","4,460","4,455","77,340,600","-4,150,168","936,715,271"
4,'114800,KODEX 인버스,"1,778",▲,"1","1,778","1,777","252,660,212","-3,362,944","489,230,531"
5,'007460,에이프로젠,"502",▼,"-13","503","502","25,541,414","-2,741,498","307,573,203"
6,'316140,우리금융지주,"39,450",▲,"300","39,450","39,400","6,542,019","-2,008,186","384,986,980"
7,'252710,TIGER 200선물인버스2X,"340",▼,"-2","340","339","54,328,497","-1,924,880","145,300,000"
8,'025980,아난티,"8,590",▲,"50","8,600","8,590","3,343,977","-1,792,975","89,729,456"
9,'011000,진원생명과학,"1,650",▼,"-80","1,651","1,650","2,340,144","-1,706,254","81,397,449"
10,'251340,KODEX 코스닥150선물인버스,"2,295",▲,"45","2,300","2,295","38,379,340","-1,702,701","74,480,176"
11,'255220,SG,"3,340",▲,"70","3,345","3,340","7,126,947","-1,607,673","102,723,284"
12,'195990,에이비프로바이오,"151",▼,"-22","151","150","10,981,665","-1,583,188","268,396,874"
13,'270520,앱튼,"238",▼,"-22","240","238","7,259,625","-1,472,223","191,183,011"
14,'052420,오성첨단소재,"1,535",▼,"-13","1,535","1,534","767,520","-1,356,558","91,788,637"
15,'036540,SFA반도체,"7,080",▼,"-70","7,090","7,080","4,090,061","-1,278,029","161,535,315"
16,'105560,KB금융,"168,600",▲,"100","168,600","168,500","2,040,157","-1,269,441","84,793,448"
17,'023440,제이스코홀딩스,"800",▼,"-32","800","799","1,864,122","-1,228,778","87,289,671"
18,'047770,코데즈컴바인,"4,395",▲,"400","4,400","4,395","24,802,323","-1,072,002","37,314,324"
19,'078590,휴림에이텍,"694",▼,"-31","696","694","2,387,857","-1,064,189","83,290,241"
20,'005380,현대차,"500,000",▼,"-6,000","500,000","499,500","1,861,662","-1,052,699","142,417,576"
21,'054220,비츠로시스,"611",▼,"-2","622","611","4,083,831","-925,081","58,053,231"
22,'225190,LK삼양,"2,400",▲,"20","2,400","2,395","8,388,799","-909,934","69,867,071"
23,'900140,엘브이엠씨홀딩스,"1,551",▼,"-48","1,559","1,551","600,390","-901,864","172,233,797"
24,'078150,HB테크놀러지,"2,140",▼,"-20","2,145","2,140","1,167,960","-887,413","89,386,909"
25,'035720,카카오,"57,800",▼,"-1,000","57,800","57,700","4,826,558","-874,645","309,196,002"
26,'489790,한화비전,"61,300",▼,"-100","61,400","61,300","1,345,340","-874,280","40,776,779"
27,'204620,글로벌텍스프리,"5,450",▼,"-50","5,450","5,440","1,534,512","-839,984","61,975,968"
28,'067310,하나마이크론,"33,100",▼,"-1,700","33,150","33,100","1,466,056","-830,617","55,955,377"
29,'045390,대아티아이,"4,645",▲,"70","4,645","4,635","1,628,476","-805,876","66,403,072"
30,'246690,TS인베스트먼트,"1,777",▼,"-25","1,778","1,777","4,545,906","-763,238","43,940,747"
31,'086520,에코프로,"150,300",▼,"-5,200","150,400","150,300","2,731,843","-753,295","107,416,928"
32,'003690,코리안리,"13,610",▲,"200","13,610","13,570","537,189","-749,946","147,385,446"
33,'007660,이수페타시스,"102,800",▼,"-5,400","102,900","102,800","2,500,901","-747,409","53,644,117"
34,'139130,iM금융지주,"21,100",▲,"850","21,100","21,000","1,690,090","-728,163","86,265,890"
35,'036930,주성엔지니어링,"51,000",▲,"1,500","51,100","51,000","1,657,138","-723,371","41,692,747"
36,'247540,에코프로비엠,"196,700",▼,"-10,300","196,800","196,700","1,157,737","-695,079","84,629,598"
37,'034230,파라다이스,"20,500",▼,"-250","20,500","20,450","841,858","-689,152","84,821,640"
38,'035420,NAVER,"253,000",▼,"-2,500","253,000","252,500","1,222,740","-676,925","94,519,318"
39,'016880,웅진,"2,395",▼,"-130","2,395","2,390","1,220,248","-663,282","69,317,777"
40,'019570,플루토스,"461",▼,"-168","461","460","26,686,979","-653,016","65,599,538"
41,'092220,KEC,"686",▼,"-52","687","686","4,430,463","-648,965","191,663,626"
42,'222080,씨아이에스,"12,150",▼,"-270","12,170","12,150","2,122,861","-644,275","71,572,787"
43,'032680,소프트센,"272",▼,"-56","272","271","26,924,693","-625,475","81,458,360"
44,'038530,케이바이오,"421",▼,"-95","421","420","75,425,880","-605,601","112,653,257"
45,'050890,쏠리드,"9,110",▼,"-160","9,120","9,110","1,177,038","-594,643","53,747,086"
46,'455860,SOL 2차전지소부장Fn,"6,200",▼,"-200","6,200","6,195","1,038,120","-593,582","28,255,299"
47,'067390,아스트,"681",▼,"-31","682","681","3,302,860","-581,334","394,647,634"
48,'003380,하림지주,"15,110",▲,"210","15,110","15,100","4,522,898","-577,152","105,753,308"
49,'396270,넥스트칩,"3,575",▼,"-90","3,600","3,575","395,431","-574,507","31,562,203"
50,'364980,TIGER 2차전지TOP10,"10,440",▼,"-245","10,440","10,430","2,442,654","-556,331","56,327,290"
51,'215100,로보로보,"9,180",▼,"-340","9,200","9,180","420,756","-533,451","19,949,616"
52,'242040,나무기술,"3,610",▼,"-320","3,615","3,610","4,246,144","-510,336","33,137,757"
53,'003060,에이프로젠바이오로직스,"401",▼,"-45","401","400","5,605,004","-509,975","196,370,957"
54,'950220,네오이뮨텍,"560",▼,"-25","560","559","7,144,388","-496,476","164,788,815"
55,'043200,파루,"973",▼,"-46","974","973","1,424,942","-496,094","40,844,814"
56,'007110,일신석재,"1,772",▲,"33","1,773","1,772","3,017,655","-490,985","75,201,203"
57,'272210,한화시스템,"103,500",▼,"-2,300","103,600","103,500","1,798,557","-479,673","171,364,254"
58,'010170,대한광통신,"3,450",▲,"125","3,455","3,450","22,125,499","-477,448","130,494,578"
59,'000490,대동,"11,710",▼,"-90","11,720","11,710","974,828","-472,555","28,261,288"
60,'019210,와이지-원,"9,260",▼,"-680","9,260","9,250","981,876","-467,784","26,984,859"
61,'017800,현대엘리베이터,"104,700",▲,"6,300","104,800","104,700","944,667","-463,006","31,159,387"
62,'402490,그린리소스,"9,740",▼,"-90","9,750","9,740","1,309,537","-462,791","16,369,496"
63,'086790,하나금융지주,"128,200",▼,"-1,800","128,200","128,100","1,587,440","-456,814","90,169,676"
64,'097800,윈팩,"428",▼,"-66","429","428","6,523,016","-454,758","133,515,425"
65,'464080,에스오에스랩,"18,650",▼,"-510","18,650","18,640","495,404","-449,006","17,513,918"
66,'042660,한화오션,"130,000",▼,"-1,800","130,000","129,900","1,646,917","-445,321","274,335,747"
67,'498410,KODEX 금융고배당TOP10타겟위클리커버드콜,"14,755",▼,"-55","14,760","14,755","2,736,868","-435,957","43,480,832"
68,'900250,크리스탈신소재,"647",▼,"-22","647","646","5,000,340","-425,399","103,426,570"
69,'069460,대호에이엘,"696",▼,"-18","697","696","5,942,810","-412,281","85,659,247"
70,'228790,TIGER 화장품,"3,760",▼,"-25","3,760","3,755","3,803,386","-410,393","95,762,820"
71,'009810,플레이그램,"1,284",▲,"62","1,284","1,281","1,108,167","-405,122","30,063,099"
72,'139480,이마트,"111,600",▼,"-6,000","111,700","111,600","1,406,329","-398,381","20,936,704"
73,'0102A0,TIGER 미국AI소프트웨어TOP4Plus,"7,260",▼,"-365","7,260","7,255","336,147","-395,858","12,096,566"
74,'317770,엑스페릭스,"3,900",▲,"65","3,910","3,900","6,348,945","-391,719","32,874,857"
75,'227950,엔투텍,"420",▼,"-50","421","420","7,142,225","-390,367","169,147,519"
76,'032790,엠젠솔루션,"902",▼,"-43","902","901","733,370","-390,276","50,796,537"
77,'003720,삼영,"7,800",▼,"-310","7,800","7,790","2,689,720","-388,255","33,448,986"
78,'005880,대한해운,"2,165",▼,"-45","2,165","2,160","3,094,639","-387,924","284,569,128"
79,'114090,GKL,"13,320",▼,"-170","13,330","13,320","361,881","-386,907","52,684,707"
80,'474610,RF시스템즈,"7,180",▼,"-100","7,190","7,180","234,774","-379,879","12,618,123"
81,'014910,성문전자,"1,809",▼,"-78","1,813","1,809","365,927","-375,823","22,089,106"
82,'083310,엘오티베큠,"12,700",▼,"-250","12,710","12,700","90,255","-370,413","16,060,305"
83,'205500,넥써쓰,"1,926",▼,"-84","1,926","1,925","569,613","-368,246","60,394,575"
84,'228810,TIGER 미디어컨텐츠,"6,075",▼,"-155","6,080","6,075","585,552","-367,376","23,273,944"
85,'021240,코웨이,"89,500",▲,"1,600","89,500","89,400","604,376","-364,372","30,551,812"
86,'452300,캡스톤파트너스,"3,415",▼,"-10","3,415","3,410","677,931","-362,210","13,754,692"
87,'356890,싸이버원,"3,680",▼,"-95","3,715","3,680","70,692","-354,012","11,621,443"
88,'440110,파두,"52,200",▼,"-2,800","52,300","52,200","1,286,525","-339,083","44,771,978"
89,'417010,나노팀,"13,150",▲,"330","13,170","13,150","2,698,393","-334,009","20,137,042"
90,'365330,에스와이스틸텍,"4,070",▼,"-30","4,075","4,070","1,137,574","-332,636","49,509,212"
91,'033790,피노,"5,590",▲,"10","5,600","5,590","229,703","-331,942","29,963,931"
92,'038500,삼표시멘트,"14,510",▲,"550","14,520","14,510","16,956,287","-318,465","106,816,488"
93,'011690,와이투솔루션,"7,260",▲,"1,610","7,260","7,250","11,715,179","-315,053","35,976,784"
94,'315640,딥노이드,"3,505",▼,"-35","3,505","3,500","334,546","-310,508","29,058,481"
95,'086390,유니테스트,"20,350",▲,"250","20,350","20,300","1,719,513","-308,817","19,697,159"
96,'080580,오킨스전자,"15,090",▲,"180","15,090","15,080","668,810","-307,548","18,413,691"
97,'461950,KODEX 2차전지핵심소재10,"6,585",▼,"-205","6,585","6,580","1,752,711","-305,211","37,514,452"
98,'353200,대덕전자,"57,500",▼,"-1,900","57,600","57,500","641,223","-304,961","41,513,063"
99,'020150,롯데에너지머티리얼즈,"42,650",▼,"-1,150","42,650","42,600","337,579","-300,589","48,716,279"
100,'388420,RISE 비메모리반도체액티브,"19,925",▼,"-355","19,925","19,920","361,340","-297,420","10,399,208"
101,'038880,아이에이,"122",▼,"-16","122","121","21,272,765","-297,370","367,534,069"
102,'033170,시그네틱스,"796",▼,"-31","796","791","2,417,216","-296,595","83,696,470"
103,'010660,화천기계,"5,700",▼,"-30","5,700","5,690","469,575","-296,574","21,091,234"
104,'024060,흥구석유,"13,770",▼,"-490","13,770","13,760","1,034,970","-296,416","15,000,000"
105,'250060,모비스,"5,660",▼,"-270","5,670","5,660","6,107,505","-296,198","31,837,263"
106,'124560,태웅로직스,"2,765",▼,"-95","2,770","2,765","869,194","-292,777","38,025,210"
107,'018000,유니슨,"1,055",▼,"-35","1,058","1,055","1,552,841","-290,910","238,834,943"
108,'099190,아이센스,"25,600",▲,"2,150","25,650","25,600","3,588,141","-288,721","20,470,112"
109,'0053L0,TIGER 차이나휴머노이드로봇,"13,650",▲,"150","13,655","13,650","852,027","-280,761","33,240,800"
110,'196700,웹스,"2,795",▲,"250","2,795","2,790","715,920","-272,394","14,028,536"
111,'033780,KT&G,"173,200",▲,"1,000","173,500","173,200","303,303","-271,917","66,685,312"
