순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
1,'005930,삼성전자,"182,000",▲,"3,400","182,100","182,000","51,912,873","19,936,982","2,870,018,425"
2,'032820,우리기술,"12,340",▼,"-1,280","12,350","12,340","34,526,753","7,956,716","148,712,884"
3,'073240,금호타이어,"6,990",▼,"-110","6,990","6,970","899,979","5,563,658","255,295,820"
4,'412570,TIGER 2차전지TOP10레버리지,"1,664",▼,"-90","1,664","1,663","7,872,446","3,739,362","93,316,476"
5,'000660,SK하이닉스,"884,000",▼,"-4,000","885,000","884,000","5,039,274","3,690,707","341,300,123"
6,'009830,한화솔루션,"45,650",▼,"-1,900","45,650","45,600","8,447,345","3,686,548","147,437,969"
7,'005935,삼성전자우,"127,600",▲,"5,500","127,700","127,600","6,582,456","2,964,554","181,471,701"
8,'003490,대한항공,"24,950",▲,"150","24,950","24,900","3,913,495","2,945,739","117,669,851"
9,'011930,신성이엔지,"2,320",▼,"-135","2,325","2,320","3,560,645","2,826,325","184,968,192"
10,'034020,두산에너빌리티,"97,000",▲,"1,500","97,000","96,900","26,963,777","2,463,688","489,233,388"
11,'004410,서울식품,"144",▼,"-4","145","144","6,226,650","2,389,201","381,286,250"
12,'088980,맥쿼리인프라,"11,540",▲,"80","11,540","11,530","3,477,050","2,346,927","433,492,893"
13,'000890,보해양조,"469",▼,"-16","470","469","9,552,281","1,792,245","132,674,439"
14,'006910,보성파워텍,"9,180",▼,"-220","9,190","9,180","11,659,531","1,631,828","42,487,683"
15,'452260,한화갤러리아,"2,365",▲,"140","2,370","2,365","36,813,396","1,589,612","189,797,466"
16,'462330,KODEX 2차전지산업레버리지,"1,853",▼,"-116","1,853","1,852","43,829,215","1,553,205","377,774,957"
17,'009410,태영건설,"1,711",▼,"-17","1,712","1,711","437,173","1,327,557","294,937,839"
18,'317240,TS트릴리온,"341",▼,"-9","342","341","3,148,870","1,280,764","136,327,065"
19,'006340,대원전선,"3,770",▲,"10","3,770","3,765","2,328,180","1,167,881","73,627,990"
20,'122630,KODEX 레버리지,"84,615",▼,"-185","84,615","84,610","21,068,368","1,154,384","64,457,669"
21,'307180,아이엘,"4,970",▼,"-390","5,010","4,970","3,523,001","1,078,220","32,002,437"
22,'079160,CJ CGV,"5,960",▼,"-130","5,960","5,950","704,355","1,071,289","154,972,348"
23,'076610,해성옵틱스,"1,004",▼,"-48","1,005","1,004","2,324,093","1,062,559","51,454,758"
24,'064260,다날,"8,440",▼,"-190","8,440","8,430","2,796,270","1,036,787","71,609,860"
25,'011200,HMM,"21,600",▲,"250","21,650","21,600","4,166,753","1,002,102","872,578,145"
26,'001440,대한전선,"31,550",▼,"-300","31,550","31,500","4,081,792","972,209","168,534,486"
27,'034220,LG디스플레이,"11,600",▼,"-310","11,620","11,600","3,328,320","928,371","363,237,207"
