Version=1.0
거래일자,거래종류,통화,거래수량,거래금액,정산금액,세금합,인지세,'미수(원/주),변제합,매체구분
종목코드,적요명,'거래단가/환율,,예수금잔고,외화예수금잔고,,유가금잔,,연체합,처리시간
거래소,종목명,,,거래금액(외),정산금액(외),수수료(외),미수(외),,변제합(외),외국납부세액
2025/03/26,입출금,USD,0,"0","0","0","0",0,"0",지점
XLE,배당금(외화)입금,"0",,"3,354","8.18",,0,,"0",11:45:34
미국,에너지SPDRETF,,,"2.86","2.43","0","0",,0.00,"0.43"
2025/03/26,입출금,USD,0,"0","0","0","0",0,"0",지점
XLK,배당금(외화)입금,"0",,"3,354","9.46",,0,,"0",11:46:25
미국,S&P500기술주SPDRETF,,,"1.50","1.28","0","0",,0.00,"0.22"
2025/06/25,입출금,USD,0,"0","0","0","0",0,"0",지점
XLE,배당금(외화)입금,"0",,"15,874","11.90",,0,,"0",15:52:52
미국,에너지SPDRETF,,,"2.87","2.44","0","0",,0.00,"0.43"
2025/06/30,입출금,USD,0,"0","0","0","0",0,"0",지점
XLK,배당금(외화)입금,"0",,"15,874","13.25",,0,,"0",16:04:50
미국,S&P500기술주SPDRETF,,,"1.59","1.35","0","0",,0.00,"0.24"
2025/07/13,입출금,KRW,0,"66","66","0","0",0,"0",지점
,예탁금이용료(이자)입금,"0",,"15,940","0",,0,,"0",02:13:39
,,,,"0","0","0","0",,0.00,"0"
2025/08/18,입출금,KRW,0,"2,400,000","2,400,000","0","0",0,"0",금결원
,이체입금(지급결제),"0",,"2,412,005","0",,0,,"0",12:12:59
,,,,"0","0","0","0",,0.00,"0"
2025/09/05,매매,USD,4,"0","0","0","0",0,"0",영웅문S#
XLE,매도,"88.7650",,"0","367.43",,0,,"0",08:09:33
미국,에너지SPDRETF,,,"355.06","354.18","0.88","0",,0.00,"0"
2025/09/05,매매,USD,7,"0","0","0","0",0,"0",영웅문S#
SPYI,매수,"51.2900",,"0","7.51",,7,,"0",08:09:33
미국,S&P500고배당네오스ETF,,,"359.03","359.92","0.89","0",,0.00,"0"
2025/09/18,매매,USD,2,"0","0","0","0",0,"0",영웅문S#
SPYI,매도,"52.3100",,"0","7.51",,5,,"0",08:08:33
미국,S&P500고배당네오스ETF,,,"104.62","0","0","0",,0.00,"0"
2025/09/18,매매,USD,1,"0","0","0","0",0,"0",영웅문S#
SPYI,매도,"52.3150",,"0","164.05",,4,,"0",08:08:33
미국,S&P500고배당네오스ETF,,,"52.32","156.54","0.39","0",,0.00,"0"
2025/09/18,매매,USD,1,"0","0","0","0",0,"0",영웅문S#
XLK,매도,"273.2650",,"0","436.63",,3,,"0",08:08:33
미국,S&P500기술주SPDRETF,,,"273.26","272.58","0.68","0",,0.00,"0"
2025/09/18,매매,USD,3,"0","0","0","0",0,"0",영웅문S#
AI,매수,"17.0750",,"0","436.63",,3,,"0",08:08:33
미국,C3AI,,,"51.22","0","0","0",,0.00,"0"
2025/09/18,매매,USD,3,"0","0","0","0",0,"0",영웅문S#
AI,매수,"17.0798",,"0","436.63",,6,,"0",08:08:33
미국,C3AI,,,"51.24","0","0","0",,0.00,"0"
2025/09/18,매매,USD,4,"0","0","0","0",0,"0",영웅문S#
AI,매수,"17.0850",,"0","436.63",,10,,"0",08:08:33
미국,C3AI,,,"68.34","0","0","0",,0.00,"0"
2025/09/18,매매,USD,3,"0","0","0","0",0,"0",영웅문S#
AI,매수,"17.0900",,"0","214.01",,13,,"0",08:08:33
미국,C3AI,,,"51.27","222.62","0.55","0",,0.00,"0"
2025/09/18,매매,USD,4,"0","0","0","0",0,"0",영웅문S#
SPYI,매수,"52.3100",,"0","4.25",,8,,"0",08:08:33
미국,S&P500고배당네오스ETF,,,"209.24","209.76","0.52","0",,0.00,"0"
2025/09/24,입출금,USD,0,"0","0","0","0",0,"0",지점
XLK,배당금(외화)입금,"0",,"873,229","5.16",,0,,"0",11:42:56
미국,S&P500기술주SPDRETF,,,"1.07","0.91","0","0",,0.00,"0.16"
2025/09/26,매매,USD,8,"0","0","0","0",0,"0",영웅문S#
SPYI,매도,"52.0750",,"0","420.72",,0,,"0",08:08:46
미국,S&P500고배당네오스ETF,,,"416.60","415.56","1.04","0",,0.00,"0"
2025/09/26,매매,USD,2,"0","0","0","0",0,"0",영웅문S#
XLK,매도,"279.1500",,"0","420.72",,1,,"0",08:08:46
미국,S&P500기술주SPDRETF,,,"558.30","0","0","0",,0.00,"0"
2025/09/26,매매,USD,1,"0","0","0","0",0,"0",영웅문S#
XLK,매도,"279.8800",,"0","1,256.81",,0,,"0",08:08:46
미국,S&P500기술주SPDRETF,,,"279.88","836.09","2.09","0",,0.00,"0"
