거래일자,종목명,거래수량,거래금액,'거래세/농특세,정산금액,미수변제,예수금,대출상환금,대출일,매체구분,종목코드
거래소,거래종류,거래단가,수수료,'소득세/주민세,미수발생,연체변제,유가잔고,'신용/대출이자,상환차금,처리시간,
2025/03/26,에너지SPDRETF,,"0","","",,"3,354","",,지점,'XLE
, 배당금(외화)입금,"","","",,"",,"","",11:45:34,
2025/03/26,S&P500기술주SPDRETF,,"0","","",,"3,354","",,지점,'XLK
, 배당금(외화)입금,"","","",,"",,"","",11:46:25,
2025/04/11,한농화성,,"1,080","","1,080",,"4,434","",,지점,'011500
, 배당금입금,"","","",,"",,"","",11:24:43,
2025/04/17,덕성,,"4,000","","4,000",,"8,434","",,지점,'004830
, 배당금입금,"","","",,"",,"","",10:27:11,
2025/04/21,레이크머티리얼즈,,"8,400","","7,120",,"15,554","",,지점,'281740
, 배당금입금,"","","1,280",,"",,"","",11:01:46,
2025/05/07,TIGER2차전지테마,,"320","","320",,"15,874","",,지점,'305540
, 수익분배금입금,"","","",,"",,"","",15:54:33,
2025/06/25,에너지SPDRETF,,"0","","",,"15,874","",,지점,'XLE
, 배당금(외화)입금,"","","",,"",,"","",15:52:52,
2025/06/30,S&P500기술주SPDRETF,,"0","","",,"15,874","",,지점,'XLK
, 배당금(외화)입금,"","","",,"",,"","",16:04:50,
2025/07/13,,,"66","","66",,"15,940","",,지점,
, 예탁금이용료(이자)입금,"","","",,"",,"","",02:13:39,
2025/07/30,이엠텍,1,"10,970","","",,"15,940","",,영웅문S#,'091120
KRX,보통매매 KOSDAQ매도,"10,970.00","","",,"",6,"","",01:11:35,
2025/07/30,이엠텍,2,"21,960","48","32,882",,"48,822","",,영웅문S#,'091120
KRX,보통매매 KOSDAQ매도,"10,980.00","","",,"",4,"","",01:11:35,
2025/07/30,이엠텍,3,"32,850","","",,"48,822","",,영웅문S#,'091120
NXT,보통매매 KOSDAQ매도,"10,950.00","","",,"",1,"","",01:11:35,
2025/07/30,이엠텍,1,"10,980","65","43,765",,"92,587","",,영웅문S#,'091120
NXT,보통매매 KOSDAQ매도,"10,980.00","","",,"",,"","",01:11:35,
2025/07/30,덕성,41,"243,540","362","243,148",,"335,735","",,영웅문S#,'004830
KRX,보통매매 장내매도,"5,940.00","30","",,"",,"","",01:11:35,
2025/07/30,삼천당제약,1,"220,500","","220,530",,"115,205","",,영웅문S#,'000250
NXT,보통매매 KOSDAQ매수,"220,500.00","30","",,"",1,"","",01:11:35,
2025/07/30,제이앤티씨,1,"17,190","","",,"115,205","",,영웅문S#,'204270
KRX,보통매매 KOSDAQ매수,"17,190.00","","",,"",19,"","",01:11:35,
2025/07/30,제이앤티씨,5,"86,000","","103,200",,"12,005","",,영웅문S#,'204270
KRX,보통매매 KOSDAQ매수,"17,200.00","10","",,"",24,"","",01:11:35,
2025/08/18,,,"2,400,000","","2,400,000",,"2,412,005","",,금결원,
, 이체입금(지급결제),"","","",,"",,"","",12:12:59,
2025/08/19,덕산테코피아,4,"76,320","114","76,196",,"2,488,201","",,영웅문S#,'317330
KRX,보통매매 KOSDAQ매도,"19,080.00","10","",,"",5,"","",01:13:01,
2025/08/19,TIGERKRX금현물,1,"10,085","","10,085",,"2,478,116","",,영웅문S#,'0072R0
KRX,보통매매 장내매수,"10,085.00","","",,"",1,"","",01:13:01,
